一级行业,23年财富估值(亿人民币),财富估值(亿人民币),富豪数量
农业与食品,144840.14199390082,135818.33333333334,52
制造业,632008.4858000608,557800.8333333334,257
医疗健康,244894.33921261848,217517.5,89
房地产与建筑,378847.4713073238,350013.3333333333,182
文化娱乐,45915.67840162942,39122.5,23
服务业,150085.2959915229,121504.16666666667,72
消费品,251362.65920829226,227621.66666666666,92
物流与交通,81194.88148663609,75595.0,36
科技与互联网,538850.9550250326,559395.0,179
能源与化工,385795.11598543235,360626.6666666667,176
金融与投资,317192.1934043913,316345.0,155
